epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,948.798,1.365,0.81643,1.10899,0.81347,0.83298,0.86084,0.49537,1.42295,0.80025,1.21618,0.000848969,0.000848969,0.000848969
43,971.252,1.3552,0.78992,1.09826,0.79768,0.8186,0.84671,0.49554,1.42206,0.78579,1.21647,0.000834822,0.000834822,0.000834822
44,993.907,1.33497,0.78759,1.10738,0.82532,0.78459,0.85148,0.49513,1.40861,0.79744,1.19481,0.000820675,0.000820675,0.000820675
45,1016.51,1.31223,0.76771,1.10275,0.78309,0.81477,0.82875,0.4835,1.4203,0.81712,1.19857,0.000806528,0.000806528,0.000806528
46,1039.28,1.33759,0.77368,1.09336,0.82884,0.76068,0.83832,0.48031,1.4176,0.81971,1.21368,0.00079238,0.00079238,0.00079238
47,1061.67,1.34261,0.76473,1.10802,0.78577,0.74212,0.81988,0.4814,1.43195,0.89236,1.2286,0.000778233,0.000778233,0.000778233
48,1084.12,1.3163,0.75893,1.09839,0.81931,0.77911,0.84054,0.50147,1.38843,0.80928,1.20649,0.000764086,0.000764086,0.000764086
49,1106.62,1.30019,0.75487,1.09079,0.7978,0.77007,0.84552,0.50027,1.3971,0.81173,1.19298,0.000749939,0.000749939,0.000749939
50,1129.02,1.33149,0.75654,1.09765,0.79119,0.79404,0.84143,0.49787,1.40253,0.76827,1.20989,0.000735792,0.000735792,0.000735792
51,1151.59,1.30163,0.75157,1.08398,0.81006,0.82486,0.87217,0.52171,1.40508,0.75173,1.20549,0.000721645,0.000721645,0.000721645
52,1174.04,1.30801,0.74092,1.08084,0.84132,0.77055,0.84597,0.49616,1.40459,0.79885,1.20535,0.000707498,0.000707498,0.000707498
53,1196.47,1.30394,0.74746,1.08529,0.85619,0.77529,0.85892,0.51224,1.39428,0.76326,1.20905,0.000693351,0.000693351,0.000693351
54,1219.14,1.28989,0.73848,1.0767,0.75774,0.76216,0.80898,0.48023,1.39418,0.8069,1.18602,0.000679204,0.000679204,0.000679204
55,1241.74,1.28689,0.72813,1.07068,0.82694,0.80131,0.86272,0.50312,1.4072,0.78657,1.19603,0.000665057,0.000665057,0.000665057
