epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1333.06,1.54176,1.0884,1.31183,0.69579,0.6975,0.76188,0.41099,1.52323,1.01874,1.36897,0.005743,0.005743,0.005743
45,1363.15,1.53706,1.0941,1.29251,0.77978,0.69209,0.76399,0.41821,1.51427,0.97562,1.36485,0.005644,0.005644,0.005644
46,1393.46,1.52244,1.09905,1.28805,0.76861,0.68255,0.75691,0.4067,1.5076,1.05072,1.37586,0.005545,0.005545,0.005545
47,1423.61,1.51854,1.07537,1.27875,0.74537,0.70837,0.77525,0.43264,1.49854,0.98692,1.35312,0.005446,0.005446,0.005446
48,1453.7,1.50786,1.04958,1.2878,0.68656,0.72758,0.74176,0.40323,1.48799,0.99651,1.35003,0.005347,0.005347,0.005347
49,1483.9,1.50994,1.07331,1.27938,0.76148,0.66521,0.74473,0.40731,1.49515,0.99613,1.34675,0.005248,0.005248,0.005248
50,1514.1,1.50118,1.06229,1.29025,0.74278,0.69094,0.74826,0.41159,1.5135,0.97159,1.36169,0.005149,0.005149,0.005149
51,1544.29,1.49115,1.05668,1.28246,0.76228,0.6928,0.74971,0.40885,1.49649,0.95787,1.34289,0.00505,0.00505,0.00505
52,1574.28,1.50282,1.02874,1.26307,0.73624,0.76539,0.79645,0.4379,1.46885,0.95089,1.33216,0.004951,0.004951,0.004951
53,1604.53,1.50798,1.04931,1.26895,0.77705,0.74591,0.79014,0.43076,1.48039,0.93774,1.3428,0.004852,0.004852,0.004852
54,1634.79,1.48158,1.02382,1.25815,0.74983,0.71627,0.77772,0.43436,1.48007,0.92372,1.34002,0.004753,0.004753,0.004753
55,1664.93,1.48371,1.00651,1.26622,0.803,0.69751,0.7858,0.43907,1.45524,0.95227,1.33033,0.004654,0.004654,0.004654
56,1695.05,1.48343,1.00162,1.24635,0.79291,0.71481,0.807,0.43648,1.47815,0.92418,1.3304,0.004555,0.004555,0.004555
57,1725.11,1.49418,1.00208,1.27329,0.79989,0.71842,0.78131,0.43523,1.4812,0.90732,1.34346,0.004456,0.004456,0.004456
58,1755.26,1.47311,0.99139,1.2542,0.78406,0.78236,0.80855,0.45255,1.47581,0.88596,1.32334,0.004357,0.004357,0.004357
59,1785.35,1.49544,0.98727,1.26444,0.80435,0.74367,0.80211,0.43862,1.47512,0.91027,1.33299,0.004258,0.004258,0.004258
60,1815.6,1.47944,0.99903,1.26392,0.7014,0.7626,0.78473,0.43168,1.48171,0.91633,1.33182,0.004159,0.004159,0.004159
61,1845.74,1.48095,0.99386,1.2464,0.76944,0.73839,0.78458,0.43221,1.4616,0.92089,1.31238,0.00406,0.00406,0.00406
62,1875.91,1.49417,0.97426,1.24821,0.77219,0.76272,0.79649,0.43834,1.47153,0.90413,1.31966,0.003961,0.003961,0.003961
63,1906.03,1.45573,0.98022,1.23648,0.80593,0.76168,0.82488,0.44145,1.46549,0.89316,1.31288,0.003862,0.003862,0.003862
64,1936.18,1.46356,0.98522,1.26094,0.79804,0.66826,0.75678,0.42931,1.45587,0.93984,1.3296,0.003763,0.003763,0.003763
65,1966.25,1.44013,0.99072,1.24847,0.74922,0.79007,0.8163,0.45541,1.46969,0.9217,1.31755,0.003664,0.003664,0.003664
66,1996.43,1.44412,0.9509,1.22898,0.80572,0.76106,0.81978,0.46781,1.42683,0.86906,1.29665,0.003565,0.003565,0.003565
67,2026.56,1.45871,0.9551,1.24108,0.77918,0.7506,0.80951,0.4538,1.43704,0.89497,1.29685,0.003466,0.003466,0.003466
68,2056.82,1.45553,0.98555,1.23953,0.83379,0.75251,0.81486,0.45172,1.4415,0.90142,1.30208,0.003367,0.003367,0.003367
69,2086.97,1.44759,0.94618,1.23234,0.82221,0.77155,0.83387,0.46022,1.44845,0.89296,1.3054,0.003268,0.003268,0.003268
70,2117.04,1.44634,0.93255,1.23457,0.76951,0.7593,0.80501,0.46133,1.42216,0.87003,1.29114,0.003169,0.003169,0.003169
71,2147.08,1.44842,0.91159,1.21797,0.81808,0.75619,0.83014,0.48321,1.41214,0.84586,1.28654,0.00307,0.00307,0.00307
