epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,11104.3,1.14484,2.43958,0.29043,0.99043,1.44152,0.8459,0.78725,0.8798,0.61485,0.82809,0.73332,0.79866,0.53587,1.05737,1.85584,0.24821,0.80452,1.38679,0.007426,0.007426,0.007426
28,11512.7,1.13975,2.42459,0.28838,0.98379,1.44094,0.84635,0.78394,0.87989,0.61657,0.8264,0.73725,0.80033,0.53821,1.05468,1.8478,0.24804,0.80303,1.38429,0.007327,0.007327,0.007327
29,11921.1,1.13786,2.41385,0.28742,0.9815,1.43503,0.84289,0.78885,0.88056,0.61747,0.82644,0.73772,0.80124,0.54057,1.05215,1.84073,0.24769,0.80139,1.38163,0.007228,0.007228,0.007228
30,12329.4,1.13383,2.3968,0.28753,0.97679,1.43213,0.84451,0.78999,0.8811,0.61917,0.82303,0.74021,0.80129,0.54145,1.04967,1.83438,0.24738,0.79895,1.37897,0.007129,0.007129,0.007129
31,12738,1.13259,2.39169,0.28665,0.97377,1.42944,0.84278,0.79345,0.88207,0.62032,0.8263,0.73788,0.8016,0.54347,1.04726,1.82914,0.24699,0.79648,1.37683,0.00703,0.00703,0.00703
32,13146.3,1.12929,2.382,0.28589,0.96912,1.42706,0.84711,0.79503,0.88314,0.62131,0.83267,0.73709,0.80437,0.54556,1.04516,1.82335,0.24652,0.79484,1.3748,0.006931,0.006931,0.006931
33,13554.9,1.1263,2.36728,0.28527,0.96878,1.42403,0.85059,0.79317,0.88351,0.62199,0.83442,0.73625,0.80516,0.54717,1.04274,1.81735,0.24604,0.79346,1.37245,0.006832,0.006832,0.006832
34,13963.1,1.12377,2.36601,0.28373,0.96688,1.42378,0.85679,0.7903,0.88474,0.62338,0.82958,0.73955,0.80605,0.54858,1.04027,1.81205,0.24576,0.7925,1.37045,0.006733,0.006733,0.006733
35,14371.2,1.12104,2.36026,0.28453,0.96245,1.41944,0.85595,0.79125,0.88531,0.62494,0.83523,0.73599,0.80614,0.55009,1.0377,1.80406,0.24529,0.79109,1.36761,0.006634,0.006634,0.006634
36,14779.8,1.11893,2.35508,0.28401,0.95977,1.41917,0.85802,0.79077,0.88572,0.62614,0.83143,0.7404,0.8069,0.55094,1.03468,1.79874,0.24489,0.78961,1.36468,0.006535,0.006535,0.006535
