epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1581.17,1.515,1.10834,1.37438,0.71836,0.64266,0.73526,0.3956,1.49791,1.07104,1.44226,0.005743,0.005743,0.005743
45,1616.54,1.51478,1.09133,1.35436,0.77737,0.6909,0.75134,0.40759,1.50159,1.04332,1.43538,0.005644,0.005644,0.005644
46,1652.34,1.49542,1.09586,1.35158,0.7272,0.69148,0.73126,0.39796,1.51352,1.045,1.4531,0.005545,0.005545,0.005545
47,1687.61,1.49651,1.06765,1.34068,0.73417,0.70923,0.77377,0.42941,1.50646,1.00143,1.45538,0.005446,0.005446,0.005446
48,1723.1,1.48964,1.06076,1.36084,0.80134,0.70896,0.76539,0.42133,1.48237,0.97836,1.43127,0.005347,0.005347,0.005347
49,1758.37,1.49686,1.04927,1.34144,0.69588,0.66556,0.72409,0.39866,1.50059,1.03362,1.42349,0.005248,0.005248,0.005248
50,1793.49,1.4923,1.06298,1.36715,0.70898,0.67272,0.73465,0.39509,1.51404,1.0478,1.45001,0.005149,0.005149,0.005149
51,1828.84,1.46237,1.03307,1.34136,0.79302,0.70688,0.80336,0.4449,1.45004,0.922,1.41,0.00505,0.00505,0.00505
52,1864.63,1.47374,1.01025,1.32268,0.81461,0.71966,0.78403,0.42524,1.48288,0.9814,1.42178,0.004951,0.004951,0.004951
53,1899.74,1.4807,1.04938,1.32339,0.74314,0.73514,0.77318,0.42478,1.49451,0.97399,1.4477,0.004852,0.004852,0.004852
54,1934.82,1.45806,1.01718,1.32247,0.78037,0.68154,0.78278,0.4326,1.48182,0.96399,1.42303,0.004753,0.004753,0.004753
55,1970.04,1.45449,0.99844,1.32113,0.82554,0.6982,0.80627,0.4473,1.47673,0.94136,1.43124,0.004654,0.004654,0.004654
56,2005.44,1.44683,0.98355,1.30841,0.84823,0.75175,0.80924,0.44374,1.49242,0.93365,1.43759,0.004555,0.004555,0.004555
57,2040.57,1.46342,0.97461,1.32547,0.78378,0.69692,0.75857,0.42351,1.47715,0.91274,1.42211,0.004456,0.004456,0.004456
58,2075.71,1.44352,0.98497,1.31964,0.83819,0.69982,0.80699,0.45411,1.44923,0.8964,1.40764,0.004357,0.004357,0.004357
59,2111.75,1.45564,0.95998,1.3154,0.77737,0.74655,0.80853,0.45009,1.4677,0.93018,1.41388,0.004258,0.004258,0.004258
60,2147.07,1.43916,0.98147,1.32372,0.76192,0.70875,0.78734,0.42797,1.46386,0.94345,1.40153,0.004159,0.004159,0.004159
61,2182.42,1.4486,0.96988,1.31037,0.82214,0.75149,0.8146,0.44688,1.50792,0.86334,1.44791,0.00406,0.00406,0.00406
62,2218.06,1.45317,0.94277,1.30865,0.86086,0.73848,0.8287,0.45571,1.49684,0.8674,1.43453,0.003961,0.003961,0.003961
63,2253.42,1.41958,0.94644,1.29895,0.78642,0.74007,0.80688,0.44747,1.4673,0.90918,1.41497,0.003862,0.003862,0.003862
64,2288.63,1.41334,0.93632,1.30854,0.75242,0.76903,0.81657,0.45662,1.45418,0.88681,1.40611,0.003763,0.003763,0.003763
65,2324.05,1.38879,0.93107,1.29484,0.8494,0.70365,0.81778,0.46042,1.44968,0.892,1.40483,0.003664,0.003664,0.003664
66,2359.61,1.40444,0.9235,1.27574,0.77858,0.73122,0.81181,0.45473,1.43189,0.85894,1.38917,0.003565,0.003565,0.003565
67,2395.13,1.41202,0.92514,1.29113,0.83442,0.73647,0.80941,0.46328,1.43949,0.88279,1.39218,0.003466,0.003466,0.003466
68,2430.81,1.4107,0.945,1.29392,0.80739,0.77139,0.82773,0.46316,1.43653,0.87651,1.39815,0.003367,0.003367,0.003367
69,2466.11,1.38987,0.90464,1.2741,0.82778,0.74947,0.83111,0.45679,1.46147,0.87302,1.41293,0.003268,0.003268,0.003268
70,2501.46,1.39116,0.89744,1.27655,0.8672,0.73108,0.83302,0.46839,1.43739,0.87744,1.3825,0.003169,0.003169,0.003169
71,2537.27,1.40578,0.87743,1.26335,0.84544,0.73791,0.8369,0.46546,1.43908,0.83643,1.391,0.00307,0.00307,0.00307
72,2572.72,1.38923,0.89935,1.28132,0.83885,0.73471,0.82483,0.46607,1.43115,0.86325,1.38712,0.002971,0.002971,0.002971
73,2608.35,1.38999,0.89019,1.27306,0.80894,0.76434,0.83396,0.46314,1.4394,0.8384,1.39319,0.002872,0.002872,0.002872
74,2643.78,1.38025,0.87888,1.25892,0.82743,0.76244,0.8396,0.48172,1.42092,0.8443,1.38823,0.002773,0.002773,0.002773
75,2679.63,1.37399,0.87762,1.27203,0.78809,0.76992,0.84012,0.47356,1.41429,0.83282,1.37634,0.002674,0.002674,0.002674
76,2715.06,1.35877,0.87558,1.27504,0.78467,0.78264,0.83467,0.46784,1.42544,0.85574,1.38528,0.002575,0.002575,0.002575
