epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,733.774,1.31328,0.80777,1.12306,0.84053,0.81373,0.87102,0.50999,1.40695,0.79201,1.21197,0.000703961,0.000703961,0.000703961
43,750.909,1.34298,0.79525,1.12681,0.82758,0.81355,0.85166,0.49692,1.38916,0.79061,1.20786,0.000686277,0.000686277,0.000686277
44,768.092,1.32574,0.7946,1.11334,0.82842,0.79477,0.85341,0.50037,1.39043,0.78517,1.19274,0.000668593,0.000668593,0.000668593
45,785.143,1.31342,0.7869,1.12368,0.82231,0.83803,0.86044,0.5065,1.39363,0.78021,1.20221,0.000650909,0.000650909,0.000650909
46,802.463,1.30441,0.78178,1.10824,0.82986,0.82085,0.86648,0.50862,1.35618,0.75816,1.18532,0.000633226,0.000633226,0.000633226
47,819.527,1.32513,0.77735,1.11689,0.82652,0.82419,0.87028,0.50906,1.40882,0.76923,1.18981,0.000615542,0.000615542,0.000615542
48,836.651,1.31739,0.76609,1.0984,0.83518,0.82972,0.88388,0.52292,1.37726,0.73492,1.19207,0.000597858,0.000597858,0.000597858
49,854.003,1.28168,0.74416,1.09942,0.84038,0.82731,0.85325,0.50683,1.36202,0.72684,1.17534,0.000580174,0.000580174,0.000580174
50,870.917,1.27293,0.7335,1.09418,0.863,0.80776,0.88661,0.51811,1.3849,0.74621,1.20114,0.00056249,0.00056249,0.00056249
51,888.342,1.29481,0.7398,1.09887,0.80073,0.84073,0.88158,0.51737,1.37008,0.74191,1.19423,0.000544806,0.000544806,0.000544806
52,905.528,1.27235,0.70856,1.08825,0.77708,0.86638,0.86316,0.51945,1.36483,0.72912,1.18178,0.000527122,0.000527122,0.000527122
53,922.609,1.26447,0.72271,1.09934,0.81876,0.83218,0.87921,0.51925,1.39333,0.73309,1.19137,0.000509438,0.000509438,0.000509438
54,940.099,1.28222,0.73023,1.09033,0.81331,0.80837,0.86687,0.51852,1.3809,0.74017,1.18831,0.000491755,0.000491755,0.000491755
55,957.492,1.27473,0.71776,1.09631,0.83086,0.83378,0.86649,0.51176,1.38025,0.72645,1.19918,0.000474071,0.000474071,0.000474071
56,974.607,1.25942,0.72176,1.086,0.80748,0.82192,0.87694,0.51223,1.37332,0.74823,1.18523,0.000456387,0.000456387,0.000456387
57,991.629,1.26524,0.70297,1.07582,0.84311,0.80257,0.86547,0.51732,1.36469,0.73477,1.18156,0.000438703,0.000438703,0.000438703
58,1008.79,1.22538,0.69455,1.08296,0.83838,0.8492,0.88281,0.52236,1.35786,0.71681,1.1932,0.000421019,0.000421019,0.000421019
59,1026.17,1.22943,0.69601,1.06484,0.83884,0.81259,0.87614,0.51785,1.38406,0.75386,1.19383,0.000403335,0.000403335,0.000403335
60,1043.1,1.2371,0.69225,1.07956,0.83965,0.819,0.86587,0.5257,1.36732,0.72164,1.18671,0.000385651,0.000385651,0.000385651
61,1060.42,1.19751,0.67458,1.06453,0.81267,0.86563,0.87733,0.52752,1.36665,0.69986,1.19756,0.000367967,0.000367967,0.000367967
62,1077.83,1.23894,0.67563,1.06514,0.84116,0.82129,0.88102,0.52066,1.37833,0.7045,1.20144,0.000350284,0.000350284,0.000350284
